id,choice,education,household,commute,type1,type2,type3,type4,type5,type6,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,price1,price2,price3,price4,price5,price6,range1,range2,range3,range4,range5,range6,acc1,acc2,acc3,acc4,acc5,acc6,speed1,speed2,speed3,speed4,speed5,speed6,pollution1,pollution2,pollution3,pollution4,pollution5,pollution6,size1,size2,size3,size4,size5,size6,space1,space2,space3,space4,space5,space6,cost1,cost2,cost3,cost4,cost5,cost6,station1,station2,station3,station4,station5,station6
1,choice5,1,0,0,sportcar,truck,sportcar,sportuv,sportcar,regcar,methanol,methanol,cng,cng,gasoline,gasoline,5.9352428,5.9352428,6.6474719,6.6474719,8.3093399,8.3093399,125,125,300,300,300,300,4,4,6,6,2.5,2.5,100,100,85,85,110,110,0,0,0.25,0.25,1,1,0,0,1,1,2,2,0.7,0.7,0.7,0.7,1,1,1,1,2,2,6,6,0,0,0.1,0.1,1,1
2,choice5,1,1,1,sportuv,sportcar,sportuv,regcar,sportuv,truck,methanol,methanol,electric,electric,gasoline,gasoline,7.7083289,7.7083289,6.102427,6.102427,6.7447878,6.7447878,125,125,250,250,300,300,2.5,2.5,4,4,6,6,65,65,140,140,85,85,0,0,0.75,0.75,0.25,0.25,3,3,3,3,2,2,0.7,0.7,1,1,1,1,2,2,6,6,8,8,0,0,0.3,0.3,1,1
3,choice5,1,0,0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,7.7083289,7.7083289,6.102427,6.102427,6.7447878,6.7447878,125,125,250,250,300,300,2.5,2.5,4,4,6,6,65,65,140,140,85,85,0,0,0.75,0.75,0.25,0.25,3,3,3,3,2,2,0.7,0.7,1,1,1,1,2,2,6,6,8,8,0,0,0.3,0.3,1,1
4,choice4,1,0,1,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,4.0359651,4.0359651,2.6115068,2.6115068,3.5611457,3.5611457,125,125,300,300,300,300,6,6,2.5,2.5,4,4,85,85,140,140,95,95,0,0,0.4,0.4,0.25,0.25,1,1,2,2,0,0,1,1,1,1,1,1,2,2,6,6,2,2,0,0,0.3,0.3,1,1
5,choice1,0,0,1,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.3109468,3.3109468,4.1386835,4.1386835,4.4145957,4.4145957,125,125,250,250,300,300,2.5,2.5,4,4,6,6,65,65,140,140,85,85,0,0,0.75,0.75,0.25,0.25,3,3,3,3,2,2,0.7,0.7,1,1,1,1,4,4,4,4,6,6,0,0,0.3,0.3,1,1
6,choice1,1,0,0,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,3.8541644,3.8541644,4.1753448,4.1753448,4.8177056,4.8177056,200,200,75,75,300,300,6,6,2.5,2.5,4,4,55,55,95,95,110,110,0,0,0.1,0.1,0.4,0.4,3,3,2,2,3,3,0.7,0.7,0.7,0.7,1,1,8,8,8,8,2,2,0,0,0.3,0.3,0.7,0.7
7,choice5,1,0,0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.0350346,3.0350346,1.6554734,1.6554734,2.4832101,2.4832101,125,125,300,300,300,300,4,4,6,6,2.5,2.5,55,55,95,95,140,140,0,0,0.1,0.1,0.75,0.75,2,2,0,0,1,1,0.7,0.7,0.7,0.7,1,1,4,4,2,2,6,6,0,0,0.1,0.1,1,1
8,choice4,1,0,0,truck,regcar,truck,van,truck,stwagon,cng,cng,electric,electric,gasoline,gasoline,6.6474719,6.6474719,7.5971108,7.5971108,8.3093399,8.3093399,150,150,350,350,400,400,4,4,6,6,2.5,2.5,95,95,110,110,140,140,0.1,0.1,0.4,0.4,0.75,0.75,2,2,3,3,3,3,0.7,0.7,1,1,1,1,8,8,2,2,4,4,0.1,0.1,0.3,0.3,1,1
9,choice3,1,0,0,sportcar,regcar,sportcar,truck,sportcar,sportuv,cng,cng,electric,electric,gasoline,gasoline,4.690508,4.690508,5.2423324,5.2423324,5.7941569,5.7941569,75,75,300,300,350,350,6,6,2.5,2.5,4,4,140,140,85,85,95,95,0.6,0.6,0.25,0.25,0.5,0.5,2,2,0,0,1,1,0.7,0.7,1,1,1,1,8,8,2,2,4,4,0.7,0.7,0.1,0.1,1,1
10,choice5,0,0,0,sportcar,sportuv,sportcar,regcar,sportcar,truck,methanol,methanol,electric,electric,gasoline,gasoline,2.2072979,2.2072979,2.7591223,2.7591223,1.6554734,1.6554734,125,125,250,250,300,300,2.5,2.5,4,4,6,6,55,55,110,110,140,140,0,0,0.6,0.6,1,1,0,0,1,1,2,2,0.7,0.7,1,1,1,1,1,1,4,4,6,6,0,0,0.3,0.3,1,1
